Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:09:33,9,84,13,22,,,
16:09:34,9,84,13,23,,,
16:09:35,9,84,12,156,,,
16:09:37,9,84,13,22,,,
16:09:38,9,84,13,23,,,
16:09:39,9,84,12,23,,,
16:09:40,9,84,13,22,,,
16:09:42,9,84,12,23,,,
16:09:43,9,84,12,22,,,
16:09:44,9,84,12,23,,,
16:09:46,9,84,12,23,,,
16:09:47,9,84,12,23,,,
16:09:48,9,84,12,23,,,
16:09:50,9,84,12,23,,,
16:09:51,9,84,11,22,,,
16:09:52,9,84,12,23,,,
16:09:54,9,84,11,23,,,
16:09:55,9,84,13,23,,,
16:09:56,9,84,14,24,,,
16:09:57,9,84,13,24,,,
16:09:59,9,84,13,157,,,
16:10:00,9,84,13,23,,,
16:10:01,9,84,12,23,,,
16:10:03,9,84,13,23,,,
16:10:04,9,84,12,23,,,
16:10:05,9,84,12,578,,,
16:10:07,9,84,12,23,,,
16:10:08,9,84,12,23,,,
16:10:09,9,84,12,23,,,
16:10:10,9,84,11,155,,,
16:10:12,9,84,12,23,,,
16:10:13,9,84,11,23,,,
16:10:14,9,84,12,23,,,
16:10:16,9,84,11,22,,,
16:10:17,9,84,11,23,,,
16:10:18,9,84,13,24,,,
16:10:20,9,84,11,24,,,
16:10:21,9,84,11,23,,,
16:10:22,9,84,12,24,,,
16:10:23,9,84,11,83,,,
16:10:25,9,84,13,66,,,
16:10:26,9,84,12,23,,,
16:10:27,9,84,12,25,,,
16:10:29,9,84,11,23,,,
16:10:30,9,84,13,24,,,
16:10:31,9,84,12,23,,,
16:10:33,9,84,12,24,,,
16:10:34,9,84,11,89,,,
16:10:35,9,84,12,24,,,
16:10:36,9,84,11,23,,,
16:10:38,9,84,12,12,,,
16:10:39,9,84,12,172,,,
16:10:40,9,84,12,24,,,
16:10:42,9,84,12,24,,,
16:10:43,9,84,12,24,,,
16:10:44,9,84,12,23,,,
16:10:46,9,84,12,24,,,
16:10:47,9,84,12,772,,,
16:10:48,9,84,12,325,,,
16:10:49,9,84,12,628,,,
16:10:51,9,84,12,98,,,
16:10:52,9,84,12,24,,,
16:10:53,9,84,11,24,,,
16:10:55,9,85,12,24,,,
16:10:56,9,85,12,56,,,
16:10:57,9,85,12,455,,,
16:10:59,9,85,11,25,,,
16:11:00,9,85,11,24,,,
16:11:01,9,85,12,24,,,
16:11:02,9,85,12,24,,,
16:11:04,9,85,12,24,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:11:11,9,85,12,25,,,
16:11:12,9,85,11,25,,,
16:11:14,9,85,12,566,,,
16:11:15,9,85,12,24,,,
16:11:16,9,85,11,25,,,
16:11:17,9,85,11,425,,,
16:11:19,9,85,11,249,,,
16:11:20,9,85,11,771,,,
16:11:21,9,85,11,531,,,
16:11:23,9,85,11,25,,,
16:11:24,9,85,11,25,,,
16:11:25,9,85,10,25,,,
16:11:27,9,85,11,26,,,
16:11:28,9,85,11,25,,,
16:11:29,9,85,12,75,,,
16:11:30,9,85,11,25,,,
16:11:32,9,85,10,24,,,
16:11:33,9,85,11,25,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:11:52,9,85,12,26,,,
16:11:53,9,86,12,26,,,
16:11:55,9,86,11,25,,,
16:11:56,9,86,11,25,,,
16:11:57,9,86,11,26,,,
16:11:59,9,86,12,26,,,
16:12:00,9,86,11,26,,,
16:12:01,9,86,11,342,,,
16:12:02,9,86,11,25,,,
16:12:04,9,86,11,286,,,
16:12:05,9,86,11,773,,,
16:12:06,9,86,11,773,,,
16:12:08,9,86,11,765,,,
16:12:09,9,86,11,25,,,
16:12:10,9,86,11,382,,,
16:12:12,9,86,11,25,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:12:18,9,86,11,565,,,
16:12:19,9,86,10,24,,,
16:12:21,9,86,11,238,,,
16:12:22,9,86,11,25,,,
16:12:23,9,86,11,25,,,
16:12:25,9,86,10,26,,,
16:12:26,9,86,10,26,,,
16:12:27,9,86,11,773,,,
16:12:28,9,86,11,25,,,
16:12:30,9,86,11,27,,,
16:12:31,9,86,11,26,,,
16:12:32,9,86,11,27,,,
16:12:34,9,86,11,38,,,
16:12:35,9,86,10,27,,,
16:12:36,9,86,11,26,,,
16:12:38,9,86,11,107,,,
16:12:39,9,86,11,26,,,
16:12:40,9,86,11,277,,,
16:12:41,9,86,11,26,,,
16:12:43,9,86,10,86,,,
16:12:44,9,86,11,26,,,
16:12:45,9,86,11,26,,,
16:12:47,9,86,10,26,,,
16:12:48,9,86,11,26,,,
16:12:49,9,86,10,26,,,
16:12:51,9,86,11,526,,,
16:12:52,9,86,9,65,,,
16:12:53,9,86,11,94,,,
16:12:54,9,86,10,26,,,
16:12:56,9,86,11,207,,,
16:12:57,9,86,11,26,,,
16:12:58,9,86,10,27,,,
16:13:00,9,86,11,27,,,
16:13:01,9,86,10,26,,,
16:13:02,9,86,11,27,,,
16:13:04,9,86,11,179,,,
16:13:05,9,86,11,27,,,
16:13:06,9,86,11,167,,,
16:13:08,9,86,11,225,,,
16:13:09,9,86,11,26,,,
16:13:10,9,86,11,25,,,
16:13:11,9,86,11,26,,,
16:13:13,9,86,11,29,,,
16:13:14,9,86,10,10,,,
16:13:15,9,86,11,27,,,
16:13:17,9,86,11,27,,,
16:13:18,9,86,11,27,,,
16:13:19,9,86,10,26,,,
16:13:21,9,86,10,27,,,
16:13:22,9,86,11,28,,,
16:13:23,9,86,11,27,,,
16:13:24,9,86,10,27,,,
16:13:26,9,86,10,27,,,
16:13:27,9,86,10,27,,,
16:13:28,9,86,11,27,,,
16:13:30,9,86,11,26,,,
16:13:31,9,86,11,27,,,
16:13:32,9,86,11,28,,,
16:13:34,9,86,10,158,,,
16:13:35,9,86,11,27,,,
16:13:36,9,86,11,27,,,
16:13:37,9,86,11,26,,,
16:13:39,9,86,11,27,,,
16:13:40,9,86,11,27,,,
16:13:41,9,86,10,28,,,
16:13:43,9,86,11,27,,,
16:13:44,9,86,11,27,,,
16:13:45,9,86,11,27,,,
16:13:47,9,86,10,253,,,
16:13:48,9,86,11,26,,,
16:13:49,9,86,11,81,,,
16:13:50,9,86,11,28,,,
16:13:52,9,86,10,27,,,
16:13:53,9,86,11,27,,,
16:13:54,9,86,11,106,,,
16:13:56,9,86,11,83,,,
16:13:57,9,86,11,90,,,
16:13:58,9,86,10,63,,,
16:14:00,9,86,11,27,,,
16:14:01,9,86,11,28,,,
16:14:02,9,86,10,62,,,
16:14:03,9,86,11,27,,,
16:14:05,9,86,9,27,,,
16:14:06,9,86,11,277,,,
16:14:07,9,86,10,27,,,
16:14:09,9,86,10,208,,,
16:14:10,9,86,10,28,,,
16:14:11,9,86,10,28,,,
16:14:13,9,86,11,27,,,
16:14:14,9,86,11,27,,,
16:14:15,9,86,11,28,,,
16:14:17,9,86,10,28,,,
16:14:18,9,86,11,95,,,
16:14:19,9,86,10,105,,,
16:14:20,9,86,11,28,,,
16:14:22,9,86,11,247,,,
16:14:23,9,86,11,28,,,
16:14:24,9,86,11,27,,,
16:14:26,9,86,11,29,,,
16:14:27,9,86,11,419,,,
16:14:28,9,86,11,28,,,
